ext_id,title,image_link
771350552,Knotted Loop Belt,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771350552-2014-fall-front-pdp.jpg
202990002,Bib And Brace Overalls,http://lsco.scene7.com/is/image/lsco/Levi/clothing/202990002-front-pdp.jpg
QAL220390,Three-Pack Levi's® Lewis Socks,http://lsco.scene7.com/is/image/lsco/Levi/accessories/QAL220390-Three-Pack-LevisLewis-Socks-White-2014-spring-front-pdp.jpg
771280135,Mini Sancho Boots,http://lsco.scene7.com/is/image/lsco/Levi/shoes/771280135-Mini-Sancho-Boots-Dark-Brown-2013-fall-front-pdp.jpg
139910000,Insulated Parka,http://lsco.scene7.com/is/image/lsco/Levi/clothing/139910000-2014-fall-front-pdp.jpg
771380457,Blocked Plaid Oblong,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771380457-Blocked-Plaid-Oblong-Red-2013-fall-front-pdp.jpg
771400154,Floral Scarf,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771400154-Floral-Scarf-Yellow-2013-spring-front-pdp.jpg
702700080,Authentic Trucker Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/702700080-Authentic-Trucker-Jacket-Authentic-Rinse-2014-spring-front-pdp.jpg
771350535,Awahnee Embossed Skinny Belt,http://lsco.scene7.com/is/image/lsco/Levi/accessories/771350535-2014-fall-front-pdp.jpg
771710288,Faux Leather Crossbody,http://lsco.scene7.com/is/image/lsco/Levi/clothing/771710288-front-pdp.jpg
172680004,Short Sleeve Henley,http://lsco.scene7.com/is/image/lsco/Levi//172680004-front-pdp.jpg
172540001,Leather Moto Jacket,http://lsco.scene7.com/is/image/lsco/Levi/clothing/172540001-front-pdp.jpg
319870002,Stitch Sweater Pullover,http://lsco.scene7.com/is/image/lsco/Levi/clothing/319870002-Bobble-Stitch-Sweater-Smokestack-Heather-2013-fall-front-pdp.jpg
50550053,Shuttle Taper Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/050550053-front-pdp.jpg
45111784,511™ Slim Fit Motion Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/045111784-front-pdp.jpg
177830124,Levi's® Graphic Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/177830124-front-pdp.jpg
177830117,Levi's® Graphic Tee,http://lsco.scene7.com/is/image/lsco/Levi/clothing/177830117-front-pdp.jpg
184580005,Perfectly Slimming Pull on Leggings,http://lsco.scene7.com/is/image/lsco/Levi/clothing/184580005-front-pdp.jpg
178360011,522™ Slim Taper Jeans,http://lsco.scene7.com/is/image/lsco/Levi/clothing/178360011-front-pdp.jpg
