ext_id,title,link,msd_ontology_with_link,msd_ontology_with_title,cp_ontology_with_link,cp_ontology_with_title
P60148903,Pretty Petal Scarf Necklace,http://www.marksandspencer.com/pretty-petal-scarf-necklace/p/p60148903,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces
P60168037,Maternity 7 Denier Bare Cooling Sheer Tights,http://www.marksandspencer.com/maternity-7-denier-bare-cooling-sheer-tights/p/p60168037,NA>bottomwear>pants>leggings,NA>bottomwear>pants>leggings,NA>bottomwear>pants>leggings,NA>bottomwear>pants>leggings
P60120647,Paddington&trade; Cotton Rich Pyjamas (9 Months - 7 Years),http://www.marksandspencer.com/cotton-rich-paddington-pyjamas-9-months-7-years-/p/p60120647,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama
P60120620,Big & Tall Linen Blend 2 Button Jacket,http://www.marksandspencer.com/linen-blend-2-button-jacket/p/p60120620,NA>outerwear>jackets&coats>others,NA>outerwear>jackets&coats>others,NA>outerwear>jackets&coats>others,NA>outerwear>jackets&coats>others
P60152139,Floral Print Scarf,http://www.marksandspencer.com/floral-print-scarf/p/p60152139,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves
P60129793,2 Piece Pure Cotton Bodysuit & Dungarees Outfit,http://www.marksandspencer.com/2-piece-pure-cotton-bodysuit-and-dungarees-outfit/p/p60129793,NA>jumpuits_rompers>others,NA>jumpuits_rompers>others,NA>jumpuits_rompers>others,NA>jumpuits_rompers>others
P60154670,Cotton Rich Vintage Lace Brazilian Knickers,http://www.marksandspencer.com/cotton-rich-vintage-lace-brazilian-knickers/p/p60154670,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts
P60131529,Straight Leg Trousers,http://www.marksandspencer.com/straight-leg-trousers/p/p60131529,NA>bottomwear>pants>straight_leg,NA>bottomwear>pants>straight_leg,NA>bottomwear>pants>straight_leg,NA>bottomwear>pants>straight_leg
P60137561,Pure Cotton Waving Palm Scarf,http://www.marksandspencer.com/pure-cotton-waving-palm-scarf/p/p60137561,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves,NA>accessories>scarves
P60128281,5 Pairs of Cotton Rich Socks (1-14 Years),http://www.marksandspencer.com/5-pairs-of-cotton-rich-socks-1-14-years-/p/p60128281,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks,NA>underwear_&_socks>socks
P60132290,Kids’ Flower Cross Body Bag,http://www.marksandspencer.com/kids-flower-cross-body-bag/p/p60132290,NA>bags>crossbody,NA>bags>crossbody,NA>bags>crossbody,NA>bags>crossbody
P60144076,Snake Print Scarf Necklace,http://www.marksandspencer.com/snake-print-scarf-necklace/p/p60144076,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces,NA>accessories>jewelry>necklaces
P60129048,Polarised Slim Aviator Navy Lens Sunglasses,http://www.marksandspencer.com/polarised-slim-aviator-navy-lens-sunglasses/p/p60129048,NA>accessories>eyewear,NA>accessories>eyewear,NA>accessories>eyewear,NA>accessories>eyewear
P60133609,Zipped Through Sweatshirt (3-16 Years),http://www.marksandspencer.com/zipped-through-sweatshirt-3-16-years-/p/p60133609,NA>topwear>sweatshirts,NA>topwear>sweatshirts,NA>topwear>sweatshirts,NA>topwear>sweatshirts
P60152314,Cotton Rich Lace Trim High Leg Knickers,http://www.marksandspencer.com/cotton-rich-lace-trim-high-leg-knickers/p/p60152314,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts,NA>bottomwear>shorts
P60179613,Jacquard Print Short Sleeve Wrap Midi Dress,http://www.marksandspencer.com/jacquard-print-short-sleeve-wrap-midi-dress/p/p60179613,NA>dresses>wrapdresses,NA>dresses>wrapdresses,NA>dresses>wrapdresses,NA>dresses>wrapdresses
P60161077,CURVE Printed Short Sleeve Swing Dress,http://www.marksandspencer.com/curve-printed-short-sleeve-swing-dress/p/p60161077,NA>dresses>others,NA>dresses>others,NA>dresses>others,NA>dresses>others
P60135866,Cotton Rich Floral Print Leggings,http://www.marksandspencer.com/cotton-rich-floral-print-leggings/p/p60135866,NA>bottomwear>pants>leggings,NA>bottomwear>pants>leggings,NA>bottomwear>pants>leggings,NA>bottomwear>pants>leggings
P60155422,Faux Leather Knotted Skinny Jeans Hip Belt,http://www.marksandspencer.com/faux-leather-knotted-skinny-jeans-hip-belt/p/p60155422,NA>bottomwear>jeans>skinny,NA>bottomwear>jeans>skinny,NA>bottomwear>jeans>skinny,NA>bottomwear>jeans>skinny
P60155429,Faux Leather Contrast Tip Hip Belt,http://www.marksandspencer.com/faux-leather-contrast-tip-hip-belt/p/p60155429,NA>accessories>belts,NA>accessories>belts,NA>accessories>belts,NA>accessories>belts
P60147809,3 Pack Pure Cotton Pyjamas (1-7 Years),http://www.marksandspencer.com/3-pack-pure-cotton-pyjamas-1-7-years-/p/p60147809,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama,NA>bottomwear>pyjama
